id_usuario,rol_mensaje,mensaje,nivel_riesgo,creado_en
341,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-05-25 04:00:00
341,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-25 04:06:00
341,user,¿Hay recursos de apoyo disponibles?,Medio,2026-05-25 04:14:00
341,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-05-25 04:03:00
19,user,Me siento motivado pero cansado.,Medio,2026-02-24 19:00:00
19,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-24 19:04:00
399,user,Estoy preocupado por mis calificaciones.,Alto,2026-03-16 17:00:00
399,assistant,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,Alto,2026-03-16 17:01:00
399,user,¿Hay recursos de apoyo disponibles?,Alto,2026-03-16 17:10:00
62,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-02-02 23:00:00
62,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-02 23:08:00
197,user,La carga académica es muy pesada.,Medio,2026-06-28 01:00:00
197,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-06-28 01:05:00
197,user,Me siento bien hoy.,Medio,2026-06-28 01:08:00
383,user,¿Hay recursos de apoyo disponibles?,Medio,2026-05-31 04:00:00
383,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-31 04:02:00
108,user,¿Hay recursos de apoyo disponibles?,Medio,2026-02-19 16:00:00
108,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-19 16:03:00
108,user,Tengo problemas para concentrarme.,Medio,2026-02-19 16:16:00
108,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-19 16:12:00
108,user,¿Hay recursos de apoyo disponibles?,Medio,2026-02-19 16:32:00
260,user,Me siento motivado pero cansado.,Medio,2026-06-23 00:00:00
260,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-06-23 00:07:00
451,user,No he dormido bien esta semana.,Medio,2026-02-04 18:00:00
451,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-04 18:04:00
451,user,Me siento estresado con la carga de trabajo.,Medio,2026-02-04 18:12:00
451,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-04 18:12:00
424,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-03-20 22:00:00
424,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-03-20 22:04:00
440,user,Tengo problemas para concentrarme.,Medio,2026-06-21 00:00:00
440,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-06-21 00:08:00
483,user,Estoy preocupado por mis calificaciones.,Medio,2026-03-24 02:00:00
483,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-03-24 02:06:00
483,user,Me siento estresado con la carga de trabajo.,Medio,2026-03-24 02:06:00
483,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-03-24 02:18:00
477,user,Necesito ayuda para organizarme.,Medio,2026-01-30 19:00:00
477,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-30 19:02:00
458,user,Me siento estresado con la carga de trabajo.,Medio,2026-02-17 20:00:00
458,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-02-17 20:04:00
336,user,Me siento estresado con la carga de trabajo.,Medio,2026-05-17 20:00:00
336,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-05-17 20:04:00
336,user,Tengo problemas para concentrarme.,Medio,2026-05-17 20:14:00
353,user,Estoy preocupado por mis calificaciones.,Medio,2026-01-20 00:00:00
353,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-20 00:07:00
353,user,Tengo problemas para concentrarme.,Medio,2026-01-20 00:06:00
353,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-01-20 00:24:00
353,user,No he dormido bien esta semana.,Medio,2026-01-20 00:24:00
184,user,¿Hay recursos de apoyo disponibles?,Medio,2026-05-06 16:00:00
184,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-05-06 16:07:00
386,user,Me siento bien hoy.,Medio,2026-06-02 01:00:00
386,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-06-02 01:01:00
68,user,La carga académica es muy pesada.,Medio,2026-03-28 16:00:00
68,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-28 16:07:00
68,user,Me siento motivado pero cansado.,Medio,2026-03-28 16:04:00
340,user,Me siento bien hoy.,Medio,2026-03-21 00:00:00
340,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-21 00:05:00
340,user,Necesito ayuda para organizarme.,Medio,2026-03-21 00:10:00
340,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-21 00:12:00
273,user,Me siento estresado con la carga de trabajo.,Medio,2026-04-07 03:00:00
273,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-04-07 03:08:00
147,user,No he dormido bien esta semana.,Medio,2026-02-20 00:00:00
147,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-02-20 00:03:00
147,user,Me siento estresado con la carga de trabajo.,Medio,2026-02-20 00:08:00
361,user,La carga académica es muy pesada.,Medio,2026-05-11 17:00:00
361,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-11 17:07:00
157,user,Me siento motivado pero cansado.,Medio,2026-02-05 16:00:00
157,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-05 16:07:00
157,user,Me siento motivado pero cansado.,Medio,2026-02-05 16:02:00
157,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-05 16:12:00
157,user,Estoy preocupado por mis calificaciones.,Medio,2026-02-05 16:12:00
341,user,Me siento estresado con la carga de trabajo.,Medio,2026-01-29 02:00:00
341,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-29 02:04:00
341,user,Me siento estresado con la carga de trabajo.,Medio,2026-01-29 02:12:00
341,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-01-29 02:21:00
447,user,La carga académica es muy pesada.,Medio,2026-01-30 04:00:00
447,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-30 04:05:00
447,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-01-30 04:14:00
447,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-30 04:12:00
447,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-01-30 04:04:00
147,user,Necesito ayuda para organizarme.,Medio,2026-03-26 17:00:00
147,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-03-26 17:05:00
147,user,Necesito ayuda para organizarme.,Medio,2026-03-26 17:10:00
147,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-26 17:15:00
404,user,La carga académica es muy pesada.,Medio,2026-06-19 16:00:00
404,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-06-19 16:08:00
404,user,Me siento estresado con la carga de trabajo.,Medio,2026-06-19 16:16:00
404,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-06-19 16:24:00
22,user,Estoy preocupado por mis calificaciones.,Medio,2026-05-18 02:00:00
22,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-18 02:02:00
22,user,La carga académica es muy pesada.,Medio,2026-05-18 02:12:00
492,user,La carga académica es muy pesada.,Medio,2026-03-02 20:00:00
492,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-03-02 20:04:00
492,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-03-02 20:06:00
492,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-02 20:03:00
123,user,¿Hay recursos de apoyo disponibles?,Medio,2026-01-24 18:00:00
123,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-01-24 18:04:00
123,user,Me siento estresado con la carga de trabajo.,Medio,2026-01-24 18:10:00
123,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-24 18:03:00
123,user,Necesito ayuda para organizarme.,Medio,2026-01-24 18:04:00
311,user,Tengo problemas para concentrarme.,Medio,2026-02-11 17:00:00
311,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-11 17:04:00
170,user,Estoy preocupado por mis calificaciones.,Alto,2026-07-08 22:00:00
170,assistant,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,Alto,2026-07-08 22:01:00
171,user,Me siento motivado pero cansado.,Medio,2026-04-17 21:00:00
171,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-04-17 21:01:00
171,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-04-17 21:12:00
171,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-04-17 21:15:00
480,user,Necesito ayuda para organizarme.,Medio,2026-06-15 16:00:00
480,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-06-15 16:07:00
480,user,¿Hay recursos de apoyo disponibles?,Medio,2026-06-15 16:02:00
340,user,No he dormido bien esta semana.,Medio,2026-04-23 04:00:00
340,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-04-23 04:07:00
279,user,¿Hay recursos de apoyo disponibles?,Alto,2026-05-31 04:00:00
279,assistant,Recomiendo que busques apoyo con consejería estudiantil para evitar una crisis.,Alto,2026-05-31 04:08:00
166,user,Me siento bien hoy.,Medio,2026-06-11 20:00:00
166,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-06-11 20:08:00
166,user,Necesito ayuda para organizarme.,Medio,2026-06-11 20:04:00
166,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-06-11 20:12:00
231,user,Necesito ayuda para organizarme.,Medio,2026-04-29 21:00:00
231,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-04-29 21:04:00
233,user,Tengo problemas para concentrarme.,Medio,2026-03-15 01:00:00
233,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-03-15 01:03:00
233,user,¿Hay recursos de apoyo disponibles?,Medio,2026-03-15 01:10:00
411,user,Estoy preocupado por mis calificaciones.,Alto,2026-04-05 17:00:00
411,assistant,Recomiendo que busques apoyo con consejería estudiantil para evitar una crisis.,Alto,2026-04-05 17:03:00
298,user,Me siento estresado con la carga de trabajo.,Alto,2026-03-06 18:00:00
298,assistant,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,Alto,2026-03-06 18:07:00
298,user,La carga académica es muy pesada.,Alto,2026-03-06 18:16:00
298,assistant,Recomiendo que busques apoyo con consejería estudiantil para evitar una crisis.,Alto,2026-03-06 18:06:00
298,user,¿Puedes darme consejos para manejar el estrés?,Alto,2026-03-06 18:04:00
430,user,Tengo problemas para concentrarme.,Medio,2026-07-10 18:00:00
430,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-07-10 18:06:00
430,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-07-10 18:14:00
360,user,¿Hay recursos de apoyo disponibles?,Medio,2026-03-31 17:00:00
360,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-31 17:01:00
360,user,No he dormido bien esta semana.,Medio,2026-03-31 17:12:00
360,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-03-31 17:21:00
326,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-05-06 20:00:00
326,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-05-06 20:01:00
326,user,¿Hay recursos de apoyo disponibles?,Medio,2026-05-06 20:12:00
349,user,¿Puedes darme consejos para manejar el estrés?,Alto,2026-04-22 21:00:00
349,assistant,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,Alto,2026-04-22 21:04:00
349,user,La carga académica es muy pesada.,Alto,2026-04-22 21:16:00
349,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-04-22 21:03:00
349,user,¿Hay recursos de apoyo disponibles?,Alto,2026-04-22 21:28:00
150,user,Me siento estresado con la carga de trabajo.,Medio,2026-04-07 04:00:00
150,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-04-07 04:05:00
150,user,¿Hay recursos de apoyo disponibles?,Medio,2026-04-07 04:12:00
54,user,La carga académica es muy pesada.,Alto,2026-02-26 17:00:00
54,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-02-26 17:04:00
54,user,¿Puedes darme consejos para manejar el estrés?,Alto,2026-02-26 17:10:00
54,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-02-26 17:06:00
477,user,Me siento bien hoy.,Alto,2026-03-27 18:00:00
477,assistant,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,Alto,2026-03-27 18:01:00
495,user,Me siento estresado con la carga de trabajo.,Medio,2026-06-02 04:00:00
495,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-06-02 04:05:00
495,user,¿Hay recursos de apoyo disponibles?,Medio,2026-06-02 04:14:00
495,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-06-02 04:24:00
495,user,Tengo problemas para concentrarme.,Medio,2026-06-02 04:12:00
429,user,Me siento motivado pero cansado.,Medio,2026-02-13 03:00:00
429,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-13 03:05:00
48,user,No he dormido bien esta semana.,Medio,2026-03-28 03:00:00
48,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-28 03:02:00
48,user,Necesito ayuda para organizarme.,Medio,2026-03-28 03:06:00
48,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-28 03:18:00
145,user,Me siento estresado con la carga de trabajo.,Medio,2026-05-27 02:00:00
145,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-05-27 02:06:00
145,user,Me siento bien hoy.,Medio,2026-05-27 02:02:00
145,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-27 02:03:00
129,user,La carga académica es muy pesada.,Alto,2026-04-21 19:00:00
129,assistant,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,Alto,2026-04-21 19:08:00
129,user,¿Puedes darme consejos para manejar el estrés?,Alto,2026-04-21 19:16:00
148,user,Me siento estresado con la carga de trabajo.,Medio,2026-06-26 17:00:00
148,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-06-26 17:08:00
148,user,Tengo problemas para concentrarme.,Medio,2026-06-26 17:08:00
367,user,¿Hay recursos de apoyo disponibles?,Medio,2026-05-03 03:00:00
367,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-03 03:06:00
367,user,Me siento motivado pero cansado.,Medio,2026-05-03 03:06:00
367,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-05-03 03:12:00
367,user,La carga académica es muy pesada.,Medio,2026-05-03 03:32:00
254,user,Tengo problemas para concentrarme.,Alto,2026-04-26 01:00:00
254,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-04-26 01:02:00
254,user,Me siento bien hoy.,Alto,2026-04-26 01:04:00
254,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-04-26 01:21:00
500,user,Me siento motivado pero cansado.,Medio,2026-03-20 02:00:00
500,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-20 02:02:00
500,user,Necesito ayuda para organizarme.,Medio,2026-03-20 02:14:00
364,user,Me siento bien hoy.,Medio,2026-05-19 04:00:00
364,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-05-19 04:05:00
364,user,Tengo problemas para concentrarme.,Medio,2026-05-19 04:08:00
364,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-05-19 04:03:00
364,user,Tengo problemas para concentrarme.,Medio,2026-05-19 04:24:00
137,user,Estoy preocupado por mis calificaciones.,Medio,2026-04-30 22:00:00
137,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-04-30 22:05:00
137,user,Me siento motivado pero cansado.,Medio,2026-04-30 22:08:00
137,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-04-30 22:03:00
137,user,La carga académica es muy pesada.,Medio,2026-04-30 22:32:00
213,user,¿Hay recursos de apoyo disponibles?,Medio,2026-02-27 00:00:00
213,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-27 00:01:00
490,user,Necesito ayuda para organizarme.,Medio,2026-04-22 17:00:00
490,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-04-22 17:01:00
490,user,Tengo problemas para concentrarme.,Medio,2026-04-22 17:08:00
490,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-04-22 17:12:00
84,user,Necesito ayuda para organizarme.,Medio,2026-04-27 03:00:00
84,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-04-27 03:04:00
84,user,Tengo problemas para concentrarme.,Medio,2026-04-27 03:08:00
485,user,Tengo problemas para concentrarme.,Medio,2026-01-21 04:00:00
485,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-21 04:01:00
84,user,Me siento estresado con la carga de trabajo.,Medio,2026-01-21 19:00:00
84,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-01-21 19:02:00
84,user,Estoy preocupado por mis calificaciones.,Medio,2026-01-21 19:14:00
71,user,Me siento estresado con la carga de trabajo.,Medio,2026-03-25 17:00:00
71,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-03-25 17:03:00
71,user,No he dormido bien esta semana.,Medio,2026-03-25 17:14:00
71,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-03-25 17:15:00
71,user,Necesito ayuda para organizarme.,Medio,2026-03-25 17:28:00
266,user,Me siento bien hoy.,Alto,2026-04-02 20:00:00
266,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-04-02 20:08:00
266,user,Estoy preocupado por mis calificaciones.,Alto,2026-04-02 20:10:00
266,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-04-02 20:06:00
266,user,Me siento bien hoy.,Alto,2026-04-02 20:28:00
291,user,Estoy preocupado por mis calificaciones.,Medio,2026-03-29 03:00:00
291,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-03-29 03:07:00
291,user,Necesito ayuda para organizarme.,Medio,2026-03-29 03:04:00
235,user,Necesito ayuda para organizarme.,Medio,2026-01-21 22:00:00
235,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-01-21 22:02:00
235,user,La carga académica es muy pesada.,Medio,2026-01-21 22:12:00
235,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-01-21 22:06:00
235,user,No he dormido bien esta semana.,Medio,2026-01-21 22:12:00
110,user,Estoy preocupado por mis calificaciones.,Medio,2026-05-21 01:00:00
110,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-21 01:04:00
110,user,Me siento estresado con la carga de trabajo.,Medio,2026-05-21 01:16:00
133,user,Me siento estresado con la carga de trabajo.,Medio,2026-04-11 18:00:00
133,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-04-11 18:04:00
133,user,Tengo problemas para concentrarme.,Medio,2026-04-11 18:16:00
133,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-04-11 18:24:00
133,user,Necesito ayuda para organizarme.,Medio,2026-04-11 18:16:00
168,user,No he dormido bien esta semana.,Medio,2026-05-19 00:00:00
168,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-05-19 00:02:00
196,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-01-18 18:00:00
196,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-01-18 18:02:00
23,user,¿Puedes darme consejos para manejar el estrés?,Alto,2026-05-21 18:00:00
23,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-05-21 18:01:00
23,user,La carga académica es muy pesada.,Alto,2026-05-21 18:04:00
23,assistant,Tu nivel de estrés es preocupante. ¿Podemos hablar de lo que te está afectando?,Alto,2026-05-21 18:15:00
23,user,La carga académica es muy pesada.,Alto,2026-05-21 18:24:00
318,user,Tengo problemas para concentrarme.,Medio,2026-06-09 02:00:00
318,assistant,Veo que la carga académica te preocupa. Vamos a crear un plan de organización.,Medio,2026-06-09 02:06:00
318,user,Tengo problemas para concentrarme.,Medio,2026-06-09 02:10:00
318,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-06-09 02:24:00
111,user,Me siento estresado con la carga de trabajo.,Medio,2026-02-18 18:00:00
111,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-02-18 18:03:00
111,user,¿Puedes darme consejos para manejar el estrés?,Medio,2026-02-18 18:16:00
111,assistant,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,Medio,2026-02-18 18:03:00
111,user,La carga académica es muy pesada.,Medio,2026-02-18 18:16:00
106,user,¿Hay recursos de apoyo disponibles?,Bajo,2026-06-01 23:00:00
106,assistant,Tu bienestar se ve estable. Continúa así y no descuides el sueño.,Bajo,2026-06-01 23:03:00
38,user,Me siento bien hoy.,Medio,2026-06-07 19:00:00
38,assistant,Hay señales de alerta moderadas. Te recomiendo establecer una rutina de descanso.,Medio,2026-06-07 19:07:00
303,user,La carga académica es muy pesada.,Alto,2026-04-20 01:00:00
